<BEGIN>
AVERAGE RESPONSE, PROCESSING TIME PER CONFIGURATION, SCHEDULE STRATEGY, QUEST:
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 4.1000001430511475, 2.31)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 4.490000009536743, 1.35)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 192.49000000953674, 189.33)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 6.009999990463257, 2.86)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.930000066757202, 3.88)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 3.130000114440918, 2.07)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 3.9800000190734863, 2.21)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 4.920000076293945, 1.75)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 3.130000114440918, 1.33)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 1.9600000381469727, 0.91)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 1.7400000095367432, 0.69)
(u'10.2.2.1', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 2.890000104904175, 1.1)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 3.8600001335144043, 2.2)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 4.690000057220459, 0.97)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 251.60000014305115, 247.9)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 5.9700000286102295, 2.26)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.860000133514404, 3.81)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 3.2300000190734863, 2.17)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 3.9100000858306885, 2.27)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 3.690000057220459, 2.03)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 2.0300002098083496, 0.97)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 1.6100001335144043, 0.57)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 2.9200000762939453, 1.27)
(u'10.2.2.1', u'131', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 3.1500000953674316, 1.48)
(u'10.2.2.1', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 4.929999828338623, 1.98)
(u'10.2.2.1', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 4.25, 1.31)
(u'10.2.2.1', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 327.5, 324.56)
(u'10.2.2.1', u'221', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 5.909999847412109, 2.97)
